week_start_date,product_id,product_name,units_sold,price,discount_pct,revenue,region,avg_gas_price,cpi
2023-12-31,P1,Product_1,87,49.87,0,4338.69,USA,,
2023-12-31,P2,Product_2,187,18.6,15,2956.4700000000003,USA,,
2023-12-31,P3,Product_3,194,22.85,15,3767.965,USA,,
2023-12-31,P4,Product_4,184,47.1,0,8666.4,USA,,
2023-12-31,P5,Product_5,151,35.83,15,4598.7805,USA,,
2023-12-31,P6,Product_6,192,35.17,15,5739.744,USA,,
2023-12-31,P7,Product_7,146,40.03,5,5552.161,USA,,
2023-12-31,P8,Product_8,187,41.12,5,7304.967999999999,USA,,
2023-12-31,P9,Product_9,72,28.32,0,2039.04,USA,,
2023-12-31,P10,Product_10,110,42.31,0,4654.1,USA,,
2023-12-31,P11,Product_11,191,17.29,10,2972.151,USA,,
2023-12-31,P12,Product_12,171,35.17,15,5111.959500000001,USA,,
2023-12-31,P13,Product_13,181,35.22,5,6056.079,USA,,
2023-12-31,P14,Product_14,107,13.89,0,1486.23,USA,,
2023-12-31,P15,Product_15,93,35.89,0,3337.77,USA,,
2023-12-31,P16,Product_16,130,5.82,5,718.77,USA,,
2023-12-31,P17,Product_17,65,34.73,5,2144.5775,USA,,
2023-12-31,P18,Product_18,161,25.08,15,3432.1979999999994,USA,,
2023-12-31,P19,Product_19,76,8.3,10,567.72,USA,,
2023-12-31,P20,Product_20,59,9.33,10,495.42300000000006,USA,,
2023-12-31,P21,Product_21,73,10.38,15,644.079,USA,,
2023-12-31,P22,Product_22,107,35.55,0,3803.85,USA,,
2023-12-31,P23,Product_23,82,16.95,15,1181.415,USA,,
2023-12-31,P24,Product_24,193,7.4,5,1356.79,USA,,
2023-12-31,P25,Product_25,142,31.52,10,4028.2560000000003,USA,,
2023-12-31,P26,Product_26,115,36.25,15,3543.4375,USA,,
2023-12-31,P27,Product_27,178,7.25,5,1225.975,USA,,
2023-12-31,P28,Product_28,56,34.87,10,1757.4479999999999,USA,,
2023-12-31,P29,Product_29,52,47.51,5,2346.9939999999997,USA,,
2023-12-31,P30,Product_30,57,29.34,15,1421.523,USA,,
2023-12-31,P31,Product_31,126,45.15,10,5120.01,USA,,
2023-12-31,P32,Product_32,86,29.23,5,2388.091,USA,,
2023-12-31,P33,Product_33,107,20.65,10,1988.5949999999998,USA,,
2023-12-31,P34,Product_34,146,37.67,15,4674.847000000001,USA,,
2023-12-31,P35,Product_35,174,33.07,5,5466.4710000000005,USA,,
2023-12-31,P36,Product_36,198,21.04,5,3957.624,USA,,
2023-12-31,P37,Product_37,144,44.66,0,6431.039999999999,USA,,
2023-12-31,P38,Product_38,132,27.41,10,3256.308,USA,,
2023-12-31,P39,Product_39,153,7.88,10,1085.076,USA,,
2023-12-31,P40,Product_40,146,47.38,10,6225.732000000001,USA,,
2023-12-31,P41,Product_41,121,39.72,10,4325.508,USA,,
2023-12-31,P42,Product_42,65,39.77,10,2326.545,USA,,
2023-12-31,P43,Product_43,70,31.04,10,1955.5199999999998,USA,,
2023-12-31,P44,Product_44,191,21.08,5,3824.9659999999994,USA,,
2023-12-31,P45,Product_45,134,26.03,15,2964.817,USA,,
2023-12-31,P46,Product_46,111,42.43,5,4474.2435,USA,,
2023-12-31,P47,Product_47,146,12.76,5,1769.812,USA,,
2023-12-31,P48,Product_48,192,13.64,0,2618.88,USA,,
2023-12-31,P49,Product_49,93,15.37,0,1429.4099999999999,USA,,
2023-12-31,P50,Product_50,193,46.54,5,8533.108999999999,USA,,
2024-01-07,P1,Product_1,103,5.89,5,576.3364999999999,USA,,
2024-01-07,P2,Product_2,71,27.94,15,1686.1789999999999,USA,,
2024-01-07,P3,Product_3,163,29.25,0,4767.75,USA,,
2024-01-07,P4,Product_4,95,17.52,0,1664.3999999999999,USA,,
2024-01-07,P5,Product_5,95,31.36,10,2681.2799999999997,USA,,
2024-01-07,P6,Product_6,96,21.55,15,1758.48,USA,,
2024-01-07,P7,Product_7,125,18.04,5,2142.25,USA,,
2024-01-07,P8,Product_8,83,32.58,15,2298.519,USA,,
2024-01-07,P9,Product_9,98,38.83,5,3615.0729999999994,USA,,
2024-01-07,P10,Product_10,105,11.14,0,1169.7,USA,,
2024-01-07,P11,Product_11,124,47.17,15,4971.718,USA,,
2024-01-07,P12,Product_12,82,40.19,5,3130.801,USA,,
2024-01-07,P13,Product_13,100,6.62,0,662.0,USA,,
2024-01-07,P14,Product_14,158,10.84,5,1627.084,USA,,
2024-01-07,P15,Product_15,70,30.56,10,1925.28,USA,,
2024-01-07,P16,Product_16,192,11.85,15,1933.9199999999998,USA,,
2024-01-07,P17,Product_17,136,21.7,5,2803.64,USA,,
2024-01-07,P18,Product_18,160,15.79,10,2273.7599999999998,USA,,
2024-01-07,P19,Product_19,150,32.9,15,4194.75,USA,,
2024-01-07,P20,Product_20,74,39.17,10,2608.722,USA,,
